"SalePrice","LotArea","Neighborhood","BuildingType","OverallQuality","OverallCondition","YearBuilt","CentralAir","LivingArea","Bathrooms","Bedrooms","Fireplaces","HasGarage"
309000.0,1246.4513341014424,"NridgHt","Single-family",8,5,2004,"Y",227.7760225977595,3,4,1,1
145000.0,1008.7356563576959,"CollgCr","Single-family",5,5,1994,"Y",101.9046887396991,1,3,0,1
153000.0,792.5713804258091,"NAmes","Single-family",5,6,1954,"Y",120.48348340509546,1,3,1,1
109000.0,735.9060566963502,"NAmes","Single-family",5,7,1953,"Y",98.18892980661981,1,3,0,1
82000.0,561.0795988949703,"Edwards","Two-family",4,5,1955,"N",107.0138572726831,2,2,0,1
160000.0,804.2760210650089,"NAmes","Single-family",6,5,1965,"Y",122.99162068492397,2,3,1,1
170000.0,1570.3726190926282,"Timber","Single-family",5,6,1959,"Y",123.36319657823189,1,2,2,1
144000.0,852.7666751416934,"SawyerW","Single-family",5,7,1983,"Y",82.11827242105196,1,2,0,1
130250.0,854.624554608233,"CollgCr","Single-family",5,6,1975,"Y",87.13454698070898,1,3,0,1
141000.0,738.0426180828708,"NAmes","Single-family",5,6,1959,"Y",106.82806932602912,1,3,0,1
319900.0,711.382047738027,"NridgHt","Townhouse",9,5,2005,"Y",162.7502412688722,2,2,1,1
239686.0,1191.0865259985612,"Mitchel","Single-family",7,5,2003,"Y",199.629148679684,1,1,1,1
249700.0,1030.7515280361906,"Somerst","Single-family",8,5,2006,"Y",153.83241982948195,2,3,0,1
113000.0,413.93554514503114,"OldTown","",4,5,1920,"Y",134.88204927077766,2,2,0,1
127000.0,719.1851414974935,"Sawyer","Single-family",5,7,1966,"Y",88.71374452726766,1,3,0,1
177000.0,1288.3465160719113,"Gilbert","Single-family",6,6,1997,"Y",136.55414079066333,2,3,0,1
114500.0,579.6583935603668,"BrkSide","Single-family",6,6,1934,"Y",109.24331263253066,1,3,1,1
110000.0,786.9977420261903,"IDOTRR","Two-family",5,5,1963,"N",75.80148223481719,1,2,0,1
385000.0,4669.872933120705,"Veenker","Single-family",9,5,1981,"Y",171.11069886830057,0,0,1,1
130000.0,662.7056057146885,"NAmes","Single-family",5,5,1955,"Y",126.33580372469532,1,3,1,1
180500.0,945.1961786020404,"NAmes","Single-family",6,5,1964,"Y",132.37391199094913,2,3,1,1
172500.0,245.704559449867,"Somerst","",8,5,1999,"Y",161.54261961562145,2,3,0,1
196500.0,1081.7503193927037,"CollgCr","Single-family",7,5,2004,"Y",159.77763412240878,2,3,0,1
438780.0,1270.9753430597657,"StoneBr","Single-family",10,5,2006,"Y",273.57275144796154,3,3,1,1
124900.0,668.8366079542693,"CollgCr","Single-family",5,7,1972,"Y",72.45729919504585,1,2,0,1
158000.0,1214.3100193303067,"SawyerW","Single-family",6,5,2004,"Y",107.57122111264498,1,3,0,1
101000.0,668.8366079542693,"IDOTRR","Single-family",5,7,1920,"N",103.20520436627683,1,3,0,1
202500.0,598.4229761724171,"NridgHt","Townhouse",8,5,2006,"Y",127.26474345796514,2,2,1,1
140000.0,956.8079252679131,"OldTown","Single-family",7,6,1921,"Y",158.84869438913896,2,3,0,1
219500.0,870.8809999404549,"CollgCr","Single-family",7,5,1997,"Y",188.94634174708108,2,3,0,1
317000.0,890.9460981790829,"NridgHt","Single-family",8,5,2004,"Y",229.72679603762612,2,4,1,1
180000.0,1848.5900692069388,"NAmes","Single-family",7,5,1970,"Y",205.01699913264895,2,3,1,1
226000.0,990.7142255322615,"CollgCr","Single-family",7,5,2003,"Y",137.39018655060616,2,3,0,1
80000.0,428.0554290907324,"OldTown","Single-family",4,6,1945,"Y",69.39179807525544,1,2,0,1
225000.0,1448.495726087628,"ClearCr","Single-family",7,4,1953,"Y",212.4485169988075,2,3,1,1
244000.0,1268.0956298866292,"NAmes","Single-family",7,6,1973,"Y",206.50330270588066,2,3,2,1
129500.0,705.9013033117351,"Mitchel","Single-family",4,6,1982,"Y",78.49540746129966,1,2,0,1
185000.0,942.037783508923,"Gilbert","Single-family",7,5,1998,"Y",159.59184617575482,2,3,1,1
144900.0,947.5185279352149,"NAmes","Single-family",5,7,1954,"Y",100.88285503310229,1,3,0,1
107400.0,537.8561055632249,"OldTown","Single-family",3,6,1915,"N",149.09482718980587,2,3,0,1
91000.0,148.25878142986303,"MeadowV","",4,5,1973,"Y",91.77924564705808,1,2,0,1
135750.0,787.2764239461712,"NAmes","Single-family",4,7,1956,"Y",88.43506260728672,1,2,0,1
127000.0,802.1394596784883,"BrkSide","Single-family",5,5,1948,"Y",119.36875572517168,1,2,0,1
136500.0,1001.2112445182104,"Sawyer","Two-family",4,5,1968,"N",164.2365448421039,2,4,0,1
110000.0,969.8130815336905,"OldTown","Single-family",5,6,1910,"Y",114.25958719218768,1,2,0,1
193500.0,1207.621653250764,"NAmes","Single-family",6,6,1968,"Y",198.97889086639512,2,4,1,1
153500.0,418.0228799714183,"Mitchel","Townhouse",6,5,1998,"Y",124.19924233817474,2,2,0,1
245000.0,948.0758917751767,"Somerst","Single-family",8,5,2007,"Y",145.19328031007262,2,3,1,1
126500.0,826.0132108235226,"NAmes","Single-family",5,5,1960,"Y",98.93208159323567,1,3,0,1
168500.0,792.3855924791552,"Gilbert","Single-family",7,5,1995,"Y",136.92571668397125,2,3,1,1
260000.0,1491.7843176580016,"NoRidge","Single-family",8,5,1991,"Y",224.52473353131512,2,4,1,1
174000.0,1106.4601162976808,"Gilbert","Single-family",6,5,2005,"Y",144.9145983900917,2,3,1,1
164500.0,367.0240886149053,"Somerst","Townhouse",6,5,2009,"Y",113.70222335222579,2,2,0,1
85000.0,786.8119540795362,"IDOTRR","Single-family",3,2,1915,"N",141.7562032969743,1,2,0,1
123600.0,749.6543647487435,"CollgCr","Single-family",4,5,1994,"Y",91.96503359371204,1,3,0,1
109900.0,668.8366079542693,"NAmes","Single-family",4,5,1950,"Y",96.60973226006112,1,2,0,1
98600.0,789.5987732793458,"NAmes","Single-family",5,3,1961,"Y",114.72405705882258,1,2,0,1
163500.0,1241.0634836484776,"Crawfor","Single-family",5,7,1921,"Y",89.5497902872105,1,2,0,1
133900.0,668.8366079542693,"OldTown","",6,6,1910,"N",212.8200928921154,2,4,1,1
204750.0,867.3510289540295,"CollgCr","Single-family",6,5,1997,"Y",165.90863636198958,2,3,0,1
185000.0,907.1096495379778,"Gilbert","Single-family",6,8,1993,"Y",136.55414079066333,2,3,1,1
214000.0,953.4637422281418,"CollgCr","Single-family",7,5,1999,"Y",147.51562964324717,2,3,0,1
94750.0,1014.4950827039688,"Edwards","Single-family",4,5,1965,"Y",89.17821439390258,1,3,0,1
83000.0,986.9984665991822,"Edwards","Single-family",5,5,1920,"N",77.56646772802985,1,2,0,1
128950.0,865.7718314074708,"NAmes","Single-family",4,5,1959,"Y",113.79511732555277,1,3,0,1
205000.0,984.9547991859886,"NWAmes","Single-family",6,7,1977,"Y",149.55929705644078,2,3,2,1
178000.0,855.1819184481949,"SawyerW","Single-family",6,5,1985,"Y",160.89236180233257,2,3,1,1
118964.0,651.9299048087586,"SawyerW","Two-family",5,5,1979,"Y",142.59224905691715,2,4,0,1
198900.0,966.2831105472652,"CollgCr","Single-family",7,5,2009,"Y",113.88801129887975,2,3,0,1
169500.0,720.6714450707252,"IDOTRR","Single-family",7,4,1931,"Y",168.881243508453,1,4,2,1
250000.0,870.8809999404549,"Somerst","Single-family",8,5,2003,"Y",185.04479486734786,2,3,1,1
100000.0,1003.254911931404,"OldTown","Single-family",4,7,1885,"Y",97.25999007335,1,2,0,1
115000.0,557.3638399618911,"OldTown","Single-family",5,5,1948,"Y",73.29334495498868,1,2,0,1
115000.0,789.5987732793458,"IDOTRR","Single-family",5,7,1919,"N",140.92015753703146,2,3,0,1
190000.0,1091.5970805653637,"NWAmes","Single-family",6,6,1977,"Y",171.29648681495453,2,3,1,1
136900.0,884.8150959395022,"Edwards","Single-family",6,4,1954,"Y",172.31832052155133,2,4,0,1
180000.0,719.9282932841094,"Gilbert","Single-family",7,5,2000,"Y",132.83838185758404,2,3,1,1
383970.0,925.6884442033742,"CollgCr","Single-family",7,5,2007,"Y",250.44215208954307,2,4,1,1
217000.0,1950.773439866619,"Crawfor","Single-family",6,5,1953,"Y",209.847485745652,2,3,2,1
259500.0,674.3173523805613,"Crawfor","Single-family",6,8,1945,"Y",215.5140181185979,2,3,1,1
176000.0,300.0475338461514,"Somerst","Townhouse",6,5,1999,"Y",135.43941311073954,2,2,1,1
139000.0,1079.0563941662213,"Sawyer","Single-family",5,5,1962,"Y",101.44021887306418,1,3,1,1
155000.0,792.9429563191171,"Edwards","Single-family",5,5,2006,"Y",104.50571999285458,1,2,0,1
320000.0,1149.6558138947273,"SawyerW","Single-family",7,5,1990,"Y",299.3043820595355,3,5,2,1
163990.0,785.9759083195935,"CollgCr","Single-family",6,5,2005,"Y",135.25362516408558,2,3,1,1
180000.0,1992.8544097837416,"ClearCr","Single-family",6,5,1969,"Y",91.77924564705808,1,1,2,1
100000.0,562.93747836151,"IDOTRR","Single-family",4,5,1939,"Y",104.31993204620062,1,3,0,1
136000.0,879.1485635665563,"NAmes","Single-family",6,7,1958,"Y",100.3254911931404,1,3,0,1
153900.0,733.1192374965408,"SawyerW","Townhouse",6,5,1993,"Y",111.37987401905124,2,2,0,1
181000.0,1583.1919874117516,"NWAmes","Single-family",6,5,1979,"Y",147.3298416965932,2,3,1,1
84500.0,629.821139156937,"IDOTRR","",6,8,1935,"N",70.04205588854431,1,2,0,1
128000.0,457.78150055536656,"NPkVill","Townhouse",6,5,1976,"Y",88.99242644724862,2,2,1,1
87000.0,407.6187549587964,"OldTown","Single-family",5,7,1930,"Y",78.03093759466475,1,3,1,1
155000.0,705.0652575517922,"NAmes","Single-family",6,5,1966,"Y",125.22107604477154,1,3,1,1
150000.0,833.5376226630082,"NAmes","Single-family",5,7,1958,"Y",97.81735391331189,1,3,0,1
226000.0,1319.0944212431423,"NAmes","Single-family",7,6,1966,"Y",200.37230046629986,2,4,2,1
244000.0,1135.5359299490262,"Gilbert","Single-family",6,5,2000,"Y",190.80422121362074,2,3,1,1
150750.0,686.300674939742,"NAmes","Single-family",5,6,1959,"Y",123.27030260490491,1,3,0,1
220000.0,636.6023992098067,"Timber","Single-family",8,5,2001,"Y",120.39058943176848,2,2,0,1
180000.0,960.0592143343574,"Sawyer","Single-family",5,6,1968,"Y",159.87052809573578,2,3,1,1
174000.0,966.0973226006113,"NWAmes","Single-family",7,6,1970,"Y",156.2476631359835,2,3,1,1
143000.0,961.9170938008971,"NAmes","Single-family",5,5,1967,"Y",112.77328361895597,2,3,1,1
171000.0,1028.3362847296892,"Mitchel","Two-family",7,5,1988,"Y",181.97929374755745,3,5,0,1
230000.0,842.1767621824175,"CollgCr","Single-family",8,5,1999,"Y",172.0396386015704,2,3,2,1
231500.0,1432.982432542022,"CollgCr","Single-family",6,5,1997,"Y",163.864968948796,2,3,0,1
115000.0,975.3867199333095,"NAmes","Single-family",4,5,1971,"Y",80.26039295451233,1,3,1,1
260000.0,1081.7503193927037,"CollgCr","Single-family",7,5,2005,"Y",161.07814974898653,2,3,0,1
166000.0,791.4566527458853,"NAmes","Single-family",5,4,1952,"Y",128.65815305786987,2,4,0,1
204000.0,960.0592143343574,"CollgCr","Single-family",7,5,1999,"Y",139.43385396379975,2,3,0,1
125000.0,845.3351572755348,"Sawyer","Two-family",5,5,1963,"Y",160.52078590902465,2,6,0,1
130000.0,234.27860073064824,"Edwards","",6,5,2004,"Y",158.755800415812,2,3,0,1
105000.0,568.511116761129,"BrkSide","Single-family",5,7,1931,"Y",81.28222666110912,1,2,0,1
222500.0,882.9572164729625,"Gilbert","Single-family",7,5,2001,"Y",189.03923572040807,2,3,1,1
141000.0,696.7047999523638,"SawyerW","Single-family",7,5,2004,"Y",100.3254911931404,1,3,0,1
115000.0,579.6583935603668,"BrkSide","Single-family",5,4,1936,"Y",124.8495001514636,1,3,0,1
122000.0,962.0099877742241,"CollgCr","Single-family",5,6,1975,"Y",90.01426015384541,1,3,0,1
372402.0,1290.390183485105,"NridgHt","Single-family",8,5,2007,"Y",158.84869438913896,2,2,1,1
190000.0,1375.1094871593123,"NWAmes","Single-family",6,5,1971,"Y",185.13768884067483,2,4,1,1
235000.0,1254.068639914255,"ClearCr","Single-family",6,7,1960,"Y",116.30325460538128,1,1,1,1
125000.0,1053.4176575279741,"OldTown","Single-family",6,5,1923,"Y",111.47276799237822,1,4,0,1
79000.0,891.7821439390258,"Edwards","Single-family",6,5,1924,"N",101.8117947663721,1,2,0,1
109500.0,668.8366079542693,"NAmes","Single-family",5,7,1950,"Y",96.60973226006112,1,2,0,1
269500.0,1115.0063618437632,"Timber","Single-family",8,5,2009,"Y",182.81533950750028,2,4,1,1
254900.0,1166.0051532002763,"Somerst","Single-family",7,5,2004,"Y",180.86456606763366,2,3,1,1
320000.0,1800.0994151302543,"Gilbert","Single-family",7,5,2005,"Y",228.70496233102932,2,4,1,1
162500.0,1032.9809833960383,"Veenker","Single-family",6,6,1984,"Y",114.44537513884164,2,3,0,1
412500.0,1271.5327068997276,"NridgHt","Single-family",9,5,2003,"Y",247.84112083638757,2,3,2,1
220000.0,1131.6343830692929,"NridgHt","Single-family",7,5,2005,"Y",143.14961289687903,2,3,1,1
103200.0,510.91685329840016,"OldTown","Single-family",4,6,1956,"Y",81.932484474398,1,1,0,1
152000.0,501.627455965702,"OldTown","Single-family",6,7,1926,"Y",150.11666089640266,2,3,0,1
127500.0,938.7864944424786,"Edwards","",5,7,1940,"Y",125.87133385806041,2,4,0,1
190000.0,994.7086663853216,"ClearCr","Single-family",5,5,1955,"Y",173.43304820147512,1,2,3,1
325624.0,981.1461462795824,"NridgHt","Single-family",8,5,2007,"Y",200.74387635960778,1,3,1,1
183500.0,765.8179161076383,"Gilbert","Single-family",7,5,2004,"Y",159.77763412240878,2,3,1,1
228000.0,1548.4496413874606,"Timber","Single-family",8,6,1981,"Y",158.57001246915803,2,2,1,1
128500.0,1147.9837223748418,"OldTown","Single-family",5,6,1941,"Y",128.3794711378889,1,2,0,1
215000.0,2951.2415325982133,"NAmes","Single-family",6,5,1960,"Y",153.83241982948195,1,3,2,1
239000.0,492.8954224729657,"StoneBr","Townhouse",7,7,1987,"Y",164.14365086877694,2,2,1,1
163000.0,947.239846015234,"NAmes","Single-family",6,5,1961,"Y",126.52159167134928,1,3,1,1
184000.0,1153.3715728278066,"Timber","Single-family",6,5,1986,"Y",153.36794996284704,2,3,1,1
243000.0,1171.857473519876,"Edwards","Single-family",6,7,1950,"Y",200.46519443962683,2,4,1,1
211000.0,931.633658496301,"ClearCr","Single-family",6,5,1988,"Y",191.36158505358262,2,4,1,1
172500.0,1268.0027359133023,"Sawyer","Single-family",5,5,1958,"Y",178.35642878780516,2,4,1,1
501837.0,1618.4916972760047,"StoneBr","Single-family",9,5,2008,"Y",207.52513641247745,2,1,1,1
100000.0,791.4566527458853,"OldTown","Single-family",5,6,1923,"Y",89.92136618051843,1,2,0,1
177000.0,196.65654153322058,"Somerst","",6,5,2000,"Y",141.66330932364733,2,3,1,1
200100.0,704.8794696051383,"Crawfor","Single-family",7,6,1920,"Y",167.3949399352213,1,4,1,1
120000.0,841.6193983424556,"Edwards","Single-family",5,6,1957,"Y",124.47792425815568,1,3,1,1
200000.0,1061.4065392340947,"OldTown","Single-family",7,5,2003,"Y",193.4052524667762,2,3,0,1
127000.0,690.945373606091,"BrkSide","Single-family",5,8,1908,"Y",116.30325460538128,1,3,0,1
475000.0,2131.9166878542333,"OldTown","Single-family",10,9,1892,"Y",335.1614557637505,2,4,2,1
173000.0,924.0163526834884,"Mitchel","Single-family",7,5,1990,"Y",113.05196553893691,2,3,0,1
135000.0,967.026262333881,"OldTown","Single-family",5,7,1916,"Y",153.83241982948195,2,3,0,1
153337.0,651.9299048087586,"SawyerW","Two-family",5,5,1979,"Y",113.70222335222579,0,2,2,1
286000.0,457.3170306887317,"StoneBr","Townhouse",8,5,2001,"Y",147.98009950988208,1,0,1,1
315000.0,981.8892980661982,"Crawfor","Single-family",8,8,1932,"Y",253.3218652626795,2,3,2,1
184000.0,694.1037686992084,"NAmes","Single-family",7,9,1972,"Y",137.39018655060616,1,4,0,1
192000.0,837.6249574893953,"CollgCr","Single-family",7,5,1999,"Y",132.93127583091103,2,3,0,1
130000.0,234.27860073064824,"Edwards","",7,5,2004,"Y",158.755800415812,2,3,0,1
127000.0,666.9787284877297,"CollgCr","Single-family",5,7,1972,"Y",80.26039295451233,1,3,0,1
148500.0,211.79825918551862,"NPkVill","",6,6,1976,"Y",135.25362516408558,2,3,1,1
311872.0,874.6896528468611,"Somerst","Single-family",7,5,2007,"Y",160.33499796237066,2,3,1,1
235000.0,2361.271907998552,"NAmes","Single-family",8,4,1918,"Y",289.0860449935675,2,4,1,1
104000.0,512.7747327649398,"OldTown","Single-family",6,6,1912,"Y",207.06066654584254,1,5,0,1
274900.0,890.9460981790829,"NridgHt","Single-family",8,5,2004,"Y",159.1273763091199,2,3,1,1
140000.0,793.8718960523869,"Edwards","Single-family",4,5,2003,"Y",104.13414409954666,2,2,0,1
171500.0,940.5514799356912,"Mitchel","Single-family",6,6,1977,"Y",118.81139188520979,2,3,2,1
112000.0,650.257813288873,"OldTown","Single-family",6,6,1924,"Y",121.69110505834622,2,2,0,1
149000.0,412.2634536251455,"CollgCr","Townhouse",6,5,2004,"Y",78.7740893812806,1,1,1,1
110000.0,325.1289066444365,"OldTown","Single-family",5,7,1947,"Y",119.2758617518447,1,2,0,1
180500.0,1100.886477898062,"Gilbert","Single-family",7,5,1990,"Y",133.95310953750783,2,3,0,1
143900.0,1270.1392972998228,"Sawyer","Single-family",5,5,1962,"Y",157.5481787625612,1,3,1,1
141000.0,1160.5244087739843,"NAmes","Single-family",4,5,1960,"Y",102.18337065968004,1,3,1,1
277000.0,1334.3290328687674,"SawyerW","Single-family",7,5,1988,"Y",191.54737300023658,2,3,1,1
145000.0,766.3752799476002,"NAmes","Single-family",6,7,1964,"Y",101.44021887306418,1,3,0,1
98000.0,520.5778265244063,"Edwards","Single-family",5,6,1925,"N",80.26039295451233,1,2,0,1
186000.0,967.9552020671509,"Edwards","Single-family",6,5,2009,"Y",112.587495672302,2,3,0,1
252678.0,802.6039295451232,"Somerst","Single-family",7,5,2009,"Y",172.0396386015704,2,3,1,1
156000.0,1260.3854301004897,"CollgCr","Single-family",5,5,1995,"Y",91.96503359371204,1,3,0,1
161750.0,1012.5443092641021,"CollgCr","Single-family",6,7,1977,"Y",129.30841087115874,1,3,0,1
134450.0,929.9615669764153,"NAmes","Single-family",5,6,1957,"Y",114.81695103214957,1,2,1,1
210000.0,784.9540746129967,"CollgCr","Single-family",7,5,2004,"Y",133.39574569754595,2,3,0,1
107000.0,920.2076997770822,"OldTown","Single-family",4,4,1925,"N",123.36319657823189,1,3,0,1
311500.0,1454.7196223005358,"Crawfor","Single-family",7,9,1939,"Y",181.51482388092253,1,3,2,1
167240.0,279.6108597142154,"Blmngtn","Townhouse",7,5,2005,"Y",115.93167871207335,2,2,0,1
204900.0,835.1168202095669,"CollgCr","Single-family",7,5,2006,"Y",139.15517204381882,2,2,0,1
200000.0,749.4685768020896,"Gilbert","Single-family",6,5,2002,"Y",210.59063753226786,2,4,1,1
179900.0,1065.9583439271166,"NWAmes","Single-family",6,6,1975,"Y",144.17144660347583,2,3,1,1
97000.0,975.3867199333095,"NAmes","Single-family",4,6,1971,"Y",80.26039295451233,1,2,0,1
386250.0,1251.4676086610996,"NridgHt","Single-family",10,5,2003,"Y",222.20238419814058,2,3,1,1
112000.0,156.0618751893295,"BrDale","",5,5,1971,"Y",120.94795327173037,2,3,0,1
290000.0,924.2950346034694,"NoRidge","Single-family",7,5,1995,"Y",234.09281278399428,2,4,1,1
106000.0,173.61883614812908,"BrDale","",6,6,1970,"Y",91.68635167373108,1,2,0,1
125000.0,791.5495467192123,"Sawyer","Single-family",5,5,1967,"Y",84.71930367420745,1,3,1,1
192500.0,295.58862312645624,"Blmngtn","Townhouse",7,5,2005,"Y",144.45012852345678,2,2,1,1
148000.0,813.751206344361,"NAmes","Single-family",6,6,1959,"Y",110.91540415241633,1,3,0,1
403000.0,1406.2289682238513,"NoRidge","Single-family",8,5,1995,"Y",259.5457614755873,2,4,1,1
94500.0,156.0618751893295,"BrDale","",6,5,1972,"Y",91.68635167373108,1,2,1,1
128200.0,989.3208159323567,"CollgCr","Single-family",5,6,1976,"Y",83.04721215432177,1,3,0,1
216500.0,729.3105845901346,"Gilbert","Single-family",6,5,2002,"Y",182.07218772088441,2,4,2,1
89500.0,156.0618751893295,"BrDale","Townhouse",6,3,1971,"Y",91.68635167373108,1,2,0,1
185500.0,814.9588279976118,"CollgCr","Single-family",7,5,2004,"Y",131.35207828435233,2,3,0,1
194500.0,878.1267298599595,"SawyerW","Single-family",7,7,1993,"Y",162.00708948225636,2,3,0,1
318000.0,1117.5144991235916,"NridgHt","Single-family",8,5,2007,"Y",157.36239081590725,2,3,0,1
113000.0,811.9862208511483,"Edwards","Single-family",6,4,1945,"Y",138.133338337222,1,3,1,1
262500.0,836.0457599428366,"Somerst","Single-family",8,5,2008,"Y",145.47196223005358,2,3,0,1
110500.0,360.4286165086896,"OldTown","Single-family",5,9,1945,"Y",80.44618090116629,1,2,0,1
79000.0,464.46986663490924,"OldTown","Single-family",5,4,1900,"N",133.76732159085387,1,3,0,1
120000.0,999.7249409449787,"SawyerW","Townhouse",6,6,1980,"Y",113.05196553893691,1,3,1,1
205000.0,824.8984831435988,"SawyerW","Single-family",7,5,1994,"Y",196.0062837199317,2,3,2,1
241500.0,966.0973226006113,"NWAmes","Single-family",7,5,1988,"Y",173.89751806811003,2,3,1,1
137000.0,849.2367041552681,"OldTown","",6,8,1910,"N",179.099580574421,2,4,0,1
140000.0,1050.6308383281648,"NAmes","Single-family",6,5,1954,"Y",127.72921332460004,1,2,1,1
180000.0,1051.2810961414536,"CollgCr","Single-family",7,5,2003,"Y",154.94714750940574,2,3,0,1
277000.0,14770.141758990114,"ClearCr","Single-family",6,7,1958,"Y",199.16467881304908,2,4,2,1
76500.0,496.9827572993529,"BrkSide","Single-family",3,2,1940,"Y",121.3195291650383,1,3,0,1
235000.0,441.2463733031638,"Crawfor","Townhouse",8,5,2006,"Y",150.9527066563455,2,2,1,1
173000.0,777.1509808535302,"SawyerW","Single-family",6,5,2004,"Y",152.34611625625024,2,3,0,1
158000.0,868.5586506072804,"NAmes","Single-family",6,7,1964,"Y",120.94795327173037,2,3,0,1
145000.0,780.3093759466476,"NAmes","Single-family",5,6,1957,"Y",122.06268095165416,1,3,0,1
230000.0,811.7075389311674,"Gilbert","Single-family",7,5,1999,"Y",212.8200928921154,2,4,1,1
207500.0,816.6309195174974,"Somerst","Single-family",6,5,2003,"Y",160.52078590902465,2,3,0,1
220000.0,818.767480904018,"CollgCr","Single-family",7,5,2006,"Y",149.0019332164789,2,3,1,1
231500.0,1155.1365583210193,"CollgCr","Single-family",7,5,2001,"Y",166.4660002019515,2,3,1,1
97000.0,1179.9392491993235,"OldTown","Single-family",5,5,1956,"Y",81.932484474398,1,2,0,1
176000.0,1792.4821093174419,"NAmes","Single-family",6,5,1962,"Y",128.3794711378889,1,3,1,1
276000.0,890.667416259102,"CollgCr","Single-family",8,5,2007,"Y",239.10908734365128,2,3,1,1
151000.0,786.9048480528633,"Sawyer","Single-family",6,7,1977,"Y",112.587495672302,1,3,1,1
130000.0,510.91685329840016,"OldTown","Single-family",5,7,1929,"Y",122.24846889830812,1,3,0,1
73000.0,486.02126844676906,"OldTown","Single-family",5,5,1925,"N",70.97099562181414,1,2,0,1
175500.0,1123.0881375232107,"NWAmes","Single-family",6,6,1981,"Y",132.0952300709682,2,3,1,1
185000.0,1041.0627590754857,"Gilbert","Single-family",6,5,1997,"Y",140.36279369706958,2,3,1,1
179500.0,780.3093759466476,"SWISU","Single-family",5,8,1939,"Y",203.6235895327442,2,4,1,1
